aa	ah
manani	The Beneficent
manati	catapault
manati	slingshot
manawa	skin desease
manawa	patch
manda	small oval rice bread
mandakozi	slave yoke
mandalina	mandolin
mandari	outing
mandari	picnic
mandhari	scenery
mandhari	appearance
mandhari	view
mandhari	landscape
mandhari	ambience
mandhari	jaunt
mando	red patch on the baboons buttocks
manemane	myrrh
manemane	scented resin
manena	groin
maneno	words
maneva	manovre
manganga	loiter
manganga	wander about idly
manganga	go about aimlessly
mang'amung'amu	confusion of mind
manganja	dance of the Manganja tribe
mangati	mirage
mangazimbwe	illusion
mangazimbwe	dream
mangi	chief of the Chaga
mangimeza	bureaucrat
mangili	cross piece for securing a cable
mangili	anchor of a vessel
mangisi	long legged fowl with featherless neck
mango	hard
mango	black
mango	rounded stone used for pounding or smoothing
mangrini	knot tied in a rope of vessels anchor in order to shorten it
mangumburi	restlessness
mangungumbaro	resistance
mangungumbaro	commotion
mangungumbaro	confusion
mani	weight measurement of about kg
mani	grass
manifesto	manifesto
manii	semen
manii	sperm
manispaa	municipality
manja	Pemba white-eye
manjali	nm front sail rope
manjanika	derrick
manjanika	winch
manjanika	davit
manjano	yellow
manjano	tumeric yellow fever
manjano	jaundice
manjano	hepatitis
manjilili	local brew
manju	maestro
manowari	man of war
mausuli	woollen bed spread
mantiki	logic
manufaa	advantage
manufaa	gain
manufaa	benefit
manukato	perfume anything with a sweet scent
manukuu	quote
manukuu	transcription
manung'uniko	complaint
manya	know
manya	understand
manyanga	rattle
manyata	make-shift settlement village
manyezi	tardiness hysteresis
manyanya	shower
manyanya	drizzle
manyoya	feathers
manza	mistake
manza	error offence
manza	conflict
manza	dispute
manzili	home
manzili	residence
maokozi	salvation
maokozi	deliverance
maombi	request
maombi	prayer
maombi	supplication
maombezi	prayer
maombolezo	dirge
maombolezo	lamentation mourning
maombolezo	detailed prayer mentioning ones keen needs
maongezi	conversation chat
maoni	comment
maoni	remark
maoni	view
maongozi	guidelines
maono	image
maonyesho	exhibit
maonyesho	play
maotea	overgrowth
mapadri	clergy
mapambano	struggle
mapambano	battle
mapambazuko	sunrise morning
mapambazuko	dawn
mapambo	dowry
mapana	width
mapatano	agreement
mapatano	convenant
mapatano	bet
mapatilizano	quarrel
mapatilizano	squabble
mapatilizo	punishment from God
mapatilizo	retribution
mapato	revenue income
mapayo	expletive
mapema	before time early
mapema	early morning
mapendano	endearment mutual love
mapenzi	love affection
mapepe	scatterbrain
mapepe	foolshness silliness
mapepeta	empty husks
mapigano	fight battle clash
mapigano	conflict
mapika	card game similar to last card
mapindi	twists and turns
mapinduzi	coup
mapinduzi	revolution
mapishi	cookery
mapisi	history
mapiswa	idle talk
mapiswa	nonsense
mapiswa	unconsciousness
mapitio	review
mapochopocho	delicacy
mapokeo	tradition
mapokezi	reception
mapokezi	reception office
maponea	subsistence food
maponyo	cure
maporomoko	cascade
maporomoko	fall
mapumziko	rest recess
mapumziko	break
mapumziko	waiting room
mapumziko	rest place lounge
mapurenda	epaulette
mapute	millet rice husks
mapuya	grain husks brew
mapwa	low neap tide
mara	times
mara	multiplied by
mara	kl suddenly immediately
mara	as soon as
maradhi	disease
maradufu	double
maradufu	twofold twice
marahaba	response to greeting
marahaba	exactly
maraha	enjoyment
maraha	bliss
maraha	pleasure
maramba	saw flakes
marara	spotted
mararuraru	rags
mararuraru	tatters
marashi	rose water
marashi	perfume
marathoni	marathon
mardudi	rejected refuted
mardufu	sailcloth
marefu	length
marehemu	late
marehemu	deceased
marejea	sunn hemp
marejeo	return
marejeo	reference
marekani	plain calico
marekebisho	rectification amendment
marendarenda	mucus slime
marham	ointment balm
maridadi	smartness
maridadi	fop
maridadi	smart
maridadi	attractive
maridhawa	sufficient satisfactory
maridhia	pleasant gentle amiable person
maridhio	agreement satisfaction
maridhiano	detente
marigedi	large copper cooking pot
marijani	red coral
marimba	xylophone
marimba	finger no
marimba	vibraphone
marimba	stringed gourd musical instrument
marinda	frill
maringo	airs graces
maringo	graceful gait swagger
maringo	hauteur
marisawa	pellet
maro	free fight
marshi	quickly hastily
marudi	punishment correction
marudi	caution
marudio	repetition revision
maruerue	hallucination
marufaa	wooden book stand
marufaa	lectern
marufuku	prohibition
marufuku	ban
marugurugu	insect bite swellings
marumaru	tile marble
marumwirumwi	itchy swellings
marupurupu	allowance
masa	evil
masa	court case trial
masafa	distance
masafa	radio waves
masaibu	affliction
masaibu	calamity
masakasaka	poisonous medicinal mixture
masakasaka	poisonous filth impurities
masala	masala pound mixture of spices
masalale	my God Oh my God
masalkheri	good evening
masalo	thick sauce paste
masalo	overripe crushed tomatoes
masango	thick ornamental brass wire used for making rings
masango	bracelets
masango	anklets etc
masazo	left overs
mashairi	verses
mashairi	poems
mashaka	great hardship
mashaka	distress
mashaka	difficult
mashamba	agranian
mashambizo	corpse washing cloths
mashambulizi	attack
mashambulizi	goal attack
mashamushamu	excitement
mashapo	dregs
mashapo	lees
mashapo	sediments
mashariki	east
mashata	dregs
mashata	sediments
mashata	thick gravy
mashavu	jowl
mashendea	gruel of cooked rice
mashindano	competition
mashindano	contest
mashine	machine
mashobo	airs
mashobo	graces
mashono	dress style
mashono	tailoring cost
mashtaka	charges
mashtaka	accusations
mashtaka	reproaches
mashua	launch
mashua	jolly-boat
mashudu	oil seed cake
mashuhuri	famous
mashuhuri	renowned
mashuhuri	well- known
mashuhuri	important
mashughuli	active
mashughuli	busy
mashamshamu	evil occurance unlucky occurance
masi	air mass
masia	walk
masiala	issues that need elaboration
masiala	legal complications
masihara	joke
masihara	jest
masihara	light matter
masihara	badnage
masika	long rainy season
masikilizano	cordial relationship
masikilizano	entente
masikilizano	agreement
masilahi	bargain
masimbi	dregs
masimbi	residue
masimbi	lees
masimulizi	idyll
masinde	tall reed grass
masira	dregs
masira	residue
masira	lees
masito	person who is partially deaf hard to hear
Masiya	Messiah
Masiya	Christ
masizi	soot
masizi	grime
masjala	registry
maskani	dwelling place
maskani	home
maskani	settlement
maskani	abode
maskini	poor person beggar
maskini	miserable wretched person
masmuma	poisonous
masombo	girdle
masombo	loin cloth worn as girdle
masomo	lessons
mastaajabu	wonders
mastaajabu	marvels
mastaajabu	amazement
mastakimu	settlement
mastakimu	abode
mastamu	mast
masua	giddiness
masua	diziness
masumbuko	troubles
masumbuko	vexation
masumbwi	boxing
masuo	ejected water after rising mouth
masurufu	travel allowance
masurufu	imprest
masurufu	provisions taken on a journey
masurufu	household expenses
masurufu	house-keeping money
masurupwete	rags
masurupwete	tartar
masuto	accusation
masuto	charges of wrong doing made openly against sb
mata	be dead
mata	bow those defeated are armed men
matabwatabwa	badly cooked food
matagataga	astride
matako	bum
matako	fanny
matakwa	want
matakwa	wish
matale	granite
matamanio	desire
matamanio	longing
matamshi	pronunciation
matamvua	fringes
matamvua	fish gills
matanda	composite
matanda	humus
matandiko	caparison
matandu	top crust of cooked rice
matanga	mourning period
matanguo	annulment
matanguo	cancellation
matapishi	vomit
matapishi	insults
matarumbeta	trumpets
matata	trouble
matata	disturbance
matata	fix
matatu	commuter bus
matayarisho	preparation
matazamio	expectations
matazamio	anticipation
matbaa	printing press
mate	saliva
mate	spittle
matege	bowlegs
mategu	writing or printing errors
mateka	hostage
mateka	captive
mateka	booty
mateka	loot
matembele	sweet potatoes leaves used as vegetable
matembezi	stroll
matembezi	walk
matembezi	promenade
matembezi	tour
matembezi	visit
matembezi	excursion
matemo	bevel
matengenezo	maintenance
matengenezo	repair
materesi	carved ornaments on bows and rudder
mateso	agony
mateso	suffering
mateso	misery
mateso	torture
mathalani	for instance
mathalani	for example
mathulubu	caluniator
mathulubu	slanderer
mathulubu	insinuator
matibabu	medical treatment
matiko	hardening or tempering
matilaba	desire
matilaba	motive
matilaba	wish
matindi	green corn maize
matindija	ugly face
matini	text
matiti	fast speed
matlai	east
matlai	easterly wind
matlai	morning wind
matofali	adobe
matokeo	results
matokeo	outcome
matokeo	consequence
matokeo	corollary effect
matu	perplexity mixed with fear
matu	lumpy in maize meal
matuasi	cymbal
matubwitubwi	badly cooked porridge
matubwitubwi	mumps
matuko	airs
matuko	graces
matuko	pleasing gait and manners
matukulele	restlessness
matukulele	distraction
matumatu	grasshoppers
matumatu	young locusts not yet in flying stage
matumatu	tiptoe
matumatu	silent walk with heel high
matumaini	hope
matumbo	entrails
matumbo	gut intestine enteric
matumizi	expenses
matumizi	expenditure
matumizi	applied
matungamavi	convex legged
matungizi	top level of a wall or of a concrete roof
matunguu	wild onion
matusi	invective
matwana	passenger lorry
maua	flowers
maua	sile
maua	jacana
mauaji	murder
mauaji	massacre
maudhi	annoyance
maudhui	content
mauguzi	patient care
mauguzi	medical treatment
mauja	danger
mauja	agitation
mauja	misfortune
mauja	miracle
mauja	wonder
mauko	departing
mauko	departure
mauko	death
Maulana	the Lord
Maulana	God
Maulana	master
Maulidi	Prophet Mohammeds birthday
Maulidi	Muslim gathering celebrating Prophet Mohammeds birthday
Maulidi	celebrations to mark the Prophet Mohammeds SAW birthday
maulizo	inquiries
maulizo	information
maumau	Kenyan liberation movement
maumbile	nature
maumbile	shape
maumbile	form
maumbufu	shame
maumivu	pain
maumivu	ache
maundifu	high tide
maungo	joints
maungo	organs
maungo	body
mauti	death
mauti	demise
maume	carved decoration in front of a vessel eg a boat
mauzauza	illusions
mauzauza	magic trick
mauzo	sales
mauzo	marketing
mava	grave yard
mava	cemetery
mavani	old and worn-out cloth
mavazi	cloth
mavi	dung
mavi	faeces
mavi	shit
mavi	crap
mavi	waste from minerals eg from iron
mavi	gold stupid words rubbish
mavi	nonsense
mavu	hornet
mavulia	used clothes
mavulia	second hand thing
mavumbo	lumps in maize meal
mavunde	fog
mavundevunde	cirrus
mavune	fatigue
mavune	strain
mavuno	harvest
mavuno	yield
mavyaa	mother daughter in law relations
mawaga	drizzle
mawaidha	advice
mawaidha	counsel
mawanda	scope
mawanda	range
mawanda	field of knowledge
mawano	oath on the stick
mawano	rope incenses
mawasiliano	communication
mawazo	thought
mawe	rubbish
mawe	bullshit
mawele	bullrush millet
mawenge	cross-eyed
mawenge	squint
mawenge	crazy
mawese	palm oil
mawewa	clean water
mawindo	prey
mawio	sunrise
mawio	dawn
mazalio	breeding place
mazalio	hatchery
maziara	cemetery
maziara	graveyard
mazidadi	supplementary
mazidadi	increment
maziga	casserole
mazigazi	optical illusion
mazigazi	mirage
maziko	funeral
maziko	burial
maziko	interment
maziko	exequies
mazingaombwe	juggling
mazingaombwe	magic tricks
mazingaombwe	magic sleight eg hand hypnotism
mazingazi	magic tricks
mazingazi	wonder
mazingara	superstition
mazingira	environment surroundings
mazingira	ambience
mazishi	funeral
mazishi	burial
mazoea	experience
mazoea	habit
mazoezi	exercise
mazoezi	practice
mazoezi	practical work
mazonge	lack of concentration due to overwork
mazonge	person lacking of concentration due to overwork
mazungumzo	conversation
mazungumzo	chitchat
mba	dandruff
mba	skin disease causing irritation and subsequently scaling
mbaazi	pigeon peas
mbabe	brute strongman
mbabe	giant person
mbabe	hero
mbabe	movie star
mbacha	old mat
mbadilikoumbo	accidence
mbadhirifu	extravangant wasteful person
mbadhirifu	misappropriator
mbago	disperse
mbagombago	crooked
mbagombago	zigzag astray
mbalamwezi	moonlight
mbalamwezi	white oyster
mbalanga	skin disease causing coloured patches
mbali	far
mbali	afar not right
mbali	different
mbali	aloof
mbalimbali	various
mbalimbali	different
mbalimbali	assorted
mbalungi	pomelo
mbalungi	shaddock
mbalungi	grapefruit tree
mbamba	straws for making fish trap
mbambakofi	mahogany
mbambangoma	type of soft wooden tree used esp for making drums
mbamia	okra plant
mbande	neap tides
mbango	warthog
mbango	money
mbango	wealth
mbanjo	breaking
mbanjo	cracking
mbanjo	first gift to a fiancee
mbano	squeezing
mbano	cleft stick
mbarapi	sable antelope
mbarawaji	long coat made of brown golden coloured silk
mbaraza	sociable person
mbaraza	conversationalist
mbari	clan
mbari	family line
mbari	lineage
mbarika	castor nuts
mbarika	young goat that has not had kid
mbaroni	put in custody
mbaroni	arrest
mbaruti	Mexican poppy
mbaruti	annual herb with yellow flowers used as medicine
mbashiri	foreteller
mbashiri	predictor
mbashiri	forecaster
mbasi	friend
mbasua	dizziness
mbata	giddiness
mbatata	potatoes
mbatata	Irish potato
mbatizaji	baptizer
mbawaa	red sea fish
mbawala	bushbuck
mbawala	deer
mbawazi	mercy
mbawazi	compassion
mbawazi	pity
mbawazi	sympathy
mbayaya	- thorny clustered tall tree
mbayumbayu	swallow
mbega	colobus monkey
mbega	colobus monkey hair
mbege	finger millet
mbege	finger millet brew
mbegu	seed
mbegu	germ
mbeja	smart and stylish woman
mbele	infront front
mbele	before
mbele	genitalia
mbeleko	baby carrier
mbeleni	genitalia
mbeleni	in front
mbeleni	ahead
mbeleni	in future
mbelewele	pollen
mbembe	seducer
mbembe	adulterer
mbenuko	convex shape
mbenuko	protuberance
mbenuko	convexity
mberegezaji	filibuster
mbera	outrigger
mbeuzi	cynic
mbeya	talebearer
mbeya	gossip
mbeya	scandalmonger
mbezi	scornful person
mbezi	proud supercilious person
mbi	bad
mbia	grave
mbia	tomb
mbia	partner
mbibo	cashewnut tree
mbigili	thorn seeded creeping grass
mbili	two
mbilikimo	pygmy
mbilikimo	dwarf
mbilikizi	bugler
mbinda	okra
mbinda	ladys finger plant
mbingiri	plant whose stem is mixed with milk and egg yolk and used as vomiting substance
mbingiriko	rolling
mbingu	sky heavens
mbingu	firmament
mbinguni	Heaven
mbingusi	type of giant rock-cod
mbini	forger
mbinja	whistle
mbinu	double jointed curve
mbinu	method
mbinu	strategy
mbinu	tactic
mbinu	device
mbinu	trick
mbinuko	protruberance
mbinuko	convex
mbio	speed
mbiombio	quickly
mbiombio	fast
mbirambi	condolence
mbirimbi	cucumber pickle tree
mbiringani	ambergine
mbiringani	egg plant
mbiru	income tax
mbishi	obstinate person
mbishi	argumentative person
mbisho	antiwind movement
mbiu	buffalo horn
mbiu	bugle
mbiu	proclamation
mbiu	bugle call
mbiya	seedling
mbizi	dive
mboga	pumkin plant
mboga	vegetables
mboga	relish
mboga	side dish
mboga	weak
mboga	soft
mboga	cheap
mbogo	buffalo
mboji	humus
mboji	composit
mbojo	killer in lions skin
mboko	small gourd for drinking water or local brew
mbokwe	custard apple
mbolea	manure
mbolea	fertilizer
mbomoko	demolition
mbomoko	demolishing
mbomoko	debris
mbomoko	rubbles
mbona	why
mbona	how come
mboni	pupil
mboni	apple of the eye
mboni	special gift
mbono	castor-oil plant
mbonyeo	concavity concave
mboo	penis
mboo	dick
mboza	tree with star shapped fruits and rope producing bark
mboza	small insect that makes honey and wax
mbu	mosquito
mbuaji	savage
mbuaji	murderous
mbuba	skin disease causing sore and sole cracks
mbubujiko	bubbling up
mbuda	fighting stick
mbuda	money
mbuga	grassland
mbuga	savannah
mbuga	campaign
mbuga	lea
mbuge	nibbling
mbugi	tinkle bells
mbugume	fecund cow
mbuji	authority
mbuji	elegant
mbuji	well dressed person
mbuku	- miser
mbukuzi	- person who reveals secrets or scandals
mbukwa	greeting said at a initiation camp
mbulia	weed
mbulu	insane person
mbulu	feeble minded person
mbulu	insanity
mbulu	madness
mbumbumbu	- fool
mbumbumbu	thickheaded
mbumbumbu	ignorant
mbunge	legislator
mbunge	parliamentarian
mbungo	medlar like tree
mbung'o	tsetsefly
mbungu	eland
mbuni	coffee tree
mbuni	ostrich
mbura	yellow flowered tree bearing brown fruit
mbura	small brown
mbura	edible fruit
mburuga	divining to find an offender
mbururo	dragging
mbururo	hauling
mbururo	pulling
mbururo	marks made by pulling something along the ground
mbuta	gift
mbuta	present
mbuta	part of bride wealth
mbute	boiled and dried sweet potatoes
mbuya	friend
mbuya	comrade
mbuya	concubine
mbuyo	techinique of sailing in bad weather
mbuyu	baobab tree
mbuzi	goat
mbuzi	coconut grater
mbwa	dog
mbwabwajo	nonsensical talk
mbwabwajo	bubbling out
mbwago	fall
mbwago	slump
mbwamwitu	wolf
mbwawa	cannibal
mbwe	pebble
mbwe	small stone
mbwedu	foolish and careless person
mbwedu	disgusting person
mbwedu	expression of contempt
mbweha	fox
mbweha	jackal
mbwembwe	affectation
mbwende	bead apron
mbwende	type of beans
mbweu	belch
mbweu	burp
mbwiji	jackal like animal
mcha	sb who fears adores
mchachago	act of washing clothes by dubbling
mchecheto	moving stealthily
mchecheto	sneaking movement
mchafuzi	trouble maker
mchafuzi	troubleshooter
mchafuzi	adulterator
mchalo	headboard
mchaguzi	fastidious person
mchaguzi	choosy person
mchai	tea tree
mchai	tea bush
mchaichai	lemon grass
mchakacho	nm mi- crushing
mchakacho	cracking and rustiling sound
mchakamchaka	jogging
mchakato	process
mchambuzi	analyst
mchana	daytime
mchanga	sand
mchangamfu	jolly person
mchangamfu	cheerful
mchangamfu	good humoured person
mchanganuo	analysis
mchanganyiko	mixture
mchanganyiko	mix
mchanganyiko	amalgam
mchanganyiko	hotchpotch compost
mchanganyo	mix up
mchango	contribution
mchango	donation
mchango	intestinal worm
mchanguzo	chaos
mchanguzo	mess
mchanjo	cutting
mchanjo	incision
mchanyato	gentle washing
mchanyato	dish of banana or cassava
mchapaji	printer
mchapishaji	publisher
mchapo	whip
mchapo	lash
mchapo	exagerated story
mchapo	anecdote
mchapuko	acceleration
mchawi	witch
mchawi	sorcerer
mche	seedling
mche	prism
mcheche	quill
mchecheto	panic
mcheduara	cylinder
mchegamo	leaning
mchegeleko	looseness
mcheja	father mother in law
mchekecheke	type of rattle tree
mchekecho	sifting
mchekele	wild olive tree
mchekeshaji	entertaining person
mchekeshaji	clown
mchekeshaji	comedian buffoon
mchekeshaji	harlequin
mchele	rice
mchembe	dried slices of sweet potatoes
mchemraba	cube
mchemraba	square
mchemraba	prism
mchemsho	boiling
mchemu	crowbar
mchemu	shovel
mchemu	spade
mchengo	cutting of stalks
mchenza	tangerine tree
mchepuo	- bias
mcheshi	comedian
mcheshi	entertaining person
mcheshi	humourist
mchezaji	player
mchezo	play
mchezo	game
mchezo	match
mchi	pestle
mchicha	spinach like plant
mchikichi	oil palm tree
mchikicho	cutting with a blunt knife
mchikicho	panga etc
mchikicho	seasoning made from mixture of ground pepper
mchikicho	onions
mchikicho	salt
mchikicho	lemon etc
mchimba	digger
mchimvi	mischievous person
mchinja	butcher
mchinja	cruel person
mchinjadamu	banana plant with red stem
mchinjadamu	roots and fruit
mchinjaji	butcher slaughterer
mchinjiko	cord of baobab fibre fastened around breasts of a lactating mother
mchinjo	slaughtering
mchinjo	butchering
mchinjo	scrapping of clay during pottery
mchipwi	wide leaved seaweed
mchipwi	alga
mchiririko	streaming
mchiririko	trickling
mchiririko	flowing
mchirizi	stream
mchirizi	streak
mchirizi	channel
mchirizi	gutter
mchirizo	curved line curve jet
mchobeo	dance where one of each sex leaves the circle of dancers to meet the opposite sex in the ring
mchocha	type of berry tree
mchocheamvua	honey sucker
mchocheo	stirring up poking a fire
mchochezi	agitator
mchochezi	instigator
mchochole	destitute
mchochole	poor person
mchochoni	type of poisonous roots but edible when treated
mchokocho	poking with a sharp stick
mchokochore	tree believed by natives that when its flowers fall then it indicates the end of the rainy season
mchokoo	sharp pointed stick
mchokozi	tease
mchokozi	needler
mchokozi	a nagging person
mchokozi	annoying person
mchokozi	belligerent
mchomo	sharp pain
mchomo	pricking
mchomo	stabbing
mchomo	burning irritation
mchomo	dash
mchomo	purt
mchongaji	carver
mchongoma	madrass thorn
mchongoma	type of thorn shrub
mchoo	light rain season between July and October in East Africa
mchonyoto	ache
mchopozi	pick pocket
mchopozi	petty thief
mchoraji	artist
mchoraji	painter
mchoraji	designer
mchoraji	cartoonist
mchoro	sketch
mchoro	drawing
mchoro	diagram
mchoro	cartoon scrawl scribble
mchoroko	green gram plant
mchoto	pinch
mchoto	nip
mchovyo	tempering
mchovyo	plating
mchovyo	coating
mchoyo	miser
mchoyo	niggard person
mchu	thin leaved hardwood
mchuano	competition
mchuano	match
mchukuzi	transporter
mchukuzi	porter
mchukuzi	bearer
mchukuzi	carrier
mchumba	fiance
mchumbururu	swird-fish
mchumi	economist
mchunaji	one who skins animals
mchunga	sour tasting thin leaved plant used as vegetable
mchunga	overseer
mchunga	guard
mchungaji	herder
mchungaji	herdsman
mchungaji	shepherd
mchungaji	pastor
mchungaji	Lama
mchunguzi	researcher
mchunguzi	investigator
mchunguzi	inquisitive person
mchungwa	orange tree
mchunko	clich
mchuuzi	retailer
mchuuzi	pedlar
mchuuzi	vendor
mchuuzi	chapman huckster
mchuzi	sauce
mchuzi	gravy
mchwa	white ant
mchwa	termite
mdaa	black dye producing plant used as tooth brush
mdaawa	litigant
mdadi	excitement
mdadi	willpower
mdadi	drive
mdadisi	inquisitive person
mdadisi	snoop
mdadisi	curious person
mdahalo	debate
mdai	creditor
mdai	claimant
mdaiwa	debtor
mdakale	long stem of a smoking pipe
mdakizi	eavesdropper
mdakizi	gossip-monger
mdaku	snoop
mdaku	slanderer
mdaku	tale bearer
mdalasini	cinnamon
mdalasini	laurel
mdanganyifu	cheat
mdanganyifu	fraud
mdanganyifu	liar
mdanzi	grape-fruit tree
mdarabi	rose-apple tree
mdeke	ramrod
mdela	brass or copper coffee-pot
mdengu	lentil plant
mdeni	debtor
mderahani	soft silk material
mdhabidhabina	liar
mdhabidhabina	cheat
mdhabidhabina	deceitful
mdhabidhabina	two-faced person
mdhalimu	tyrant
mdhalimu	oppressor
mdhamini	guarantor
mdhamini	sponsor
mdhibiti	controller
mdhibiti	protector
mdhibiti	censor
mdidimio	act of sinking
mdidimio	submersion
mdimu	lime tree
mdiria	kingfisher
mdodoki	loofah plant
mdoezi	bum
mdogo	junior
mdokozi	petty thief pick pocket
mdomo	lip beak
mdomo	bill
mdomo	mouth
mdomo	gob
mdomwa	dance of men and women standing in two rows and giving turn to go in the centre with a different foot from each side
mdondoakupe	tick eating bird
mdongea	shawl
mdongea	style of wearing a shawl round the shoulders
mdongea	white hat made by sewing machine
mdoriani	jackfruit tree
mdoshi	treadle
mdoya	spy
mdoya	sponger
mduara	circumference
mduara	circle
mdubira	unfortuante unlucky person
mdubira	failure
mdubiri	superstitious person
mdudu	insect
mdukizi	eavesdropper
mdukizi	spy
mdukizi	interloper
mdukuo	contemptuous
mdukuo	meddler
mdumavu	cretin
mdumizi	sponger
mdundiko	Zaramo dance perfomed by a group of dancers running slowly along the streets
mdundo	drumbeat
mdundo	rumbling sound
mdundugo	anti weapon charm
mdunzi	spy
mdunzi	detective
mdunzi	undercover
mdunzi	snooper
mdurenge	dance performed in a circle with participants holding hands
mdwere	local spinach
mea	sprout
mea	germinate
mea	sprint
mechi	match
medali	medal
medani	arena
medani	fighting ground
mede	bedstead
mede	day bed
mede	winning post
mede	bay of safety in certain games
mega	take a bit
mega	bite off a piece
mega	break off a piece
mega	break off as in erosion
megawati	megawatt
Mei	May
meja	major
meko	kitchen hearth
melesi	badger
melezi	anchorage
melezi	roadstead
meli	ship
melimeli	white muslin cloth
melimeli	batiste
memba	member
membe	whimbrel
memsahib	respectful address to a rich woman or ones famale employer
memeteka	glitter
memeteka	sparkle
memeteka	shine
mende	cockroach
mende	beetle
mende	sodomite
meneja	- manager
menejimenti	management
menya	e peel
menya	strip away shell
menyana	compete
menyana	contest
menyeka	toil
menyeka	be peeled shelled
meremeta	sparkle
meremeta	glitter
meremeta	twinkle
merikebu	steamship
mesenja	- messenger
mesi	mess
metameta	glint
metameta	glitter
metameta	twinkle
metameta	sparkle
methali	proverb
methali	aphorism
meya	mayor
meza	table
meza	swallow
meza	engulf
mfaa	centrepiece of a doorbr
mfadhaiko	depression
mfadhili	benefactor
mfadhili	sponsor
mfadhili	donor
mfadhina	conservative person
mfagiaji	sweeper
mfagio	broom
mfagizi	sweeper
mfalme	king
mfamasia	pharmacist
mfamasia	apothecary
mfanano	resemblance
mfanano	likeness
mfano	example
mfano	instance
mfano	parable
mfanyabiashara	business person
mfanyabiashara	trader
mfanyakazi	worker
mfanyakazi	employee
mfarakano	estrangement
mfarakano	conflict
mfariji	consoler
mfarika	heifer
mfarishi	quilt
mfarishi	eidedown
mfarishi	duvet maker
mfasiri	translator
mfawidhi	quarter master
mfenesi	jackfruit tree
mfereji	ditch
mfereji	trench
mfereji	conduit
mfereji	channel
mfereji	canal
mfereji	gutter
mfigili	radish plant
mfilisi	- liquidator
mfinyanzi	potter
mfinyo	nip
mfinyo	pinch
mfiraji	sodomite
mfitini	sower of discord
mfitini	sneak
mfiwa	bereaved person
mfiwi	lima bean plant
mfu	dead person
mfuachuma	blacksmith
mfuafedha	silversmith
mfuanazi	one who husks coconuts
mfuauji	coxcomb
mfuauji	dandy
mfuatano	succession sequence
mfugaji	- herder
mfugaji	rancher
mfugaji	breeder of animals
mfujaji	waster
mfujaji	squanderer
mfuko	bag
mfuko	pocket
mfuko	fund
mfululizo	series
mfululizo	consecutive
mfumaji	weaver
mfumaji	one who stabs with a spear
mfumbati	side piece of a bedstead
mfumbi	rain water drainage
mfumkowabei	inflation
mfumo	style of weaving
mfumo	system
mfundo	resentment
mfundo	dudgeon
mfume	white barked straight tall tree
mfungo	fast
mfunguo	month
mfungwa	prisoner
mfungwa	convict
mfungwa	captive
mfuniko	lid
mfuniko	cover
mfuo	- carpenters drill
mfuo	line
mfuo	strip
mfuo	groove
mfuo	drill
mfuo	metal forging
mfupa	bone
mfuraha	small box
mfuria	loose coat with a collar but without sleeves
mfuru	black berry tree
mfurufu	jovial joyful person active person
mfurungu	citron tree
mfutafuta	type of wild sionsion tree
mfuto	sth plain
mfuto	loose five times
mfuto	lose all money
mfyatuko	letting go of something gripped
mfyatuko	releasing a spring
mfyato	infibulation
mfyeko	- clearance of bush
mfyeko	cutting of grass
mfyonyo	contemptuous hissing sound
mfyosi	rude person
mgaagaa	shore plant
mgadenia	gardenia
mgagani	white flowered clover leafeel plant
mgahawa	cafe
mgahawa	canteen
mgahawa	restaurant
mgambakangu	tuber rooted water plant
mgambo	public proclamation
mgambo	call to meeting meeting of over fourty children who have just been circumcised
mgambo	- guard
mgambo	auxiliary police
mganda	bundle sheaf eg of rice
mganda	type of coastal walk dance
mganda	caravan expedition
mganda	horn blown to alert people of sth
mgandisho	coagulation
mgandisho	freezing
mganga	medical person
mganga	doctor
mgango	binding up
mgango	splicing
mgango	mending
mgaragazo	- rolling
mgawaji	distributor
mgawano	- distribution
mgawanyiko	division
mgawanyiko	split
mgawanyo	division
mgawanyo	partition segmentation
mgawanyo	fission
mgawo	division
mgazi	oil palm tree
mgema	palmwine tapper
mgemo	method of tapping trees
mgeni	stranger
mgeni	foreigner
mgeni	alien
mgeni	guest
mgeni	visitor
mgeukowapolepole	gradation
mgeuzo	change
mgeuzo	changing
mghafala	forgetfulness
mghani	singer
mghani	esp of poems
mgigisi	- disorderly chaotic person
mgiligilani	coriander plant
mgobo	quarrelsome person fan
mgobo	devotee
mgodi	mine
mgogoro	dispute
mgogoyo	exhortation
mgogoyo	polema wish will
mgoli	python like water snake
mgoli	wife of a traditional ruler
mgoli	eg chief
mgolole	long cloth worn by passing it over the shoulder
mgomaji	striker
mgomba	banana plant
mgombakofi	yam producing banana like plant
mgombea	candidate
mgombea	contender
mgombea	contestant
mgomboz	i - defender
mgomo	strike
mgomvi	quarrelsome person
mgomvi	brawler
mgongaji	profiteer
mgongano	collision
mgongano	conflict
mgongano	crash
mgongano	clash impact collision of thoughts
mgongo	back
mgong'oto	advice
mgong'oto	sound of something being knocked
mgoni	adulterer
mgoni	formicator
mgonjwa	patient
mgonjwa	sick person
mgono	kind of fish trap
mgoto	elephantiasis
mgoto	bang
mgoza	fire strinking tree
mgude	white barked tall sleepery tree
mgulabi	type of fruit tree
mgumba	childless person
mgumba	sterile person
mgumio	growl
mgumio	groan
mgunda	plantation
mgunda	farm
mgundazi	discoverer
mgundazi	inventor
mgunga	acacia tree
mguno	muttering
mguno	grumbling
mguruto	mangling
